volume,ticks,status,open,low,high,cost,close,timestamp,instrument
0.1,1746349200000,ok,0.0005,0.0005,0.0005,5e-05,0.0005,2025-05-04 09:00:00,BTC-7MAY25-84000-P
0.0,1746352800000,ok,0.0005,0.0005,0.0005,0.0,0.0005,2025-05-04 10:00:00,BTC-7MAY25-84000-P
0.4,1746356400000,ok,0.0001,0.0001,0.0001,4e-05,0.0001,2025-05-04 11:00:00,BTC-7MAY25-84000-P
0.0,1746360000000,ok,0.0001,0.0001,0.0001,0.0,0.0001,2025-05-04 12:00:00,BTC-7MAY25-84000-P
0.0,1746363600000,ok,0.0001,0.0001,0.0001,0.0,0.0001,2025-05-04 13:00:00,BTC-7MAY25-84000-P
0.0,1746367200000,ok,0.0001,0.0001,0.0001,0.0,0.0001,2025-05-04 14:00:00,BTC-7MAY25-84000-P
0.0,1746370800000,ok,0.0001,0.0001,0.0001,0.0,0.0001,2025-05-04 15:00:00,BTC-7MAY25-84000-P
0.0,1746374400000,ok,0.0001,0.0001,0.0001,0.0,0.0001,2025-05-04 16:00:00,BTC-7MAY25-84000-P
0.0,1746378000000,ok,0.0001,0.0001,0.0001,0.0,0.0001,2025-05-04 17:00:00,BTC-7MAY25-84000-P
0.0,1746381600000,ok,0.0001,0.0001,0.0001,0.0,0.0001,2025-05-04 18:00:00,BTC-7MAY25-84000-P
0.2,1746385200000,ok,0.0002,0.0002,0.0002,4e-05,0.0002,2025-05-04 19:00:00,BTC-7MAY25-84000-P
0.0,1746388800000,ok,0.0002,0.0002,0.0002,0.0,0.0002,2025-05-04 20:00:00,BTC-7MAY25-84000-P
0.0,1746392400000,ok,0.0002,0.0002,0.0002,0.0,0.0002,2025-05-04 21:00:00,BTC-7MAY25-84000-P
3.0,1746396000000,ok,0.0004,0.0004,0.0004,0.0012,0.0004,2025-05-04 22:00:00,BTC-7MAY25-84000-P
0.0,1746399600000,ok,0.0004,0.0004,0.0004,0.0,0.0004,2025-05-04 23:00:00,BTC-7MAY25-84000-P
0.0,1746403200000,ok,0.0004,0.0004,0.0004,0.0,0.0004,2025-05-05 00:00:00,BTC-7MAY25-84000-P
0.0,1746406800000,ok,0.0004,0.0004,0.0004,0.0,0.0004,2025-05-05 01:00:00,BTC-7MAY25-84000-P
0.0,1746410400000,ok,0.0004,0.0004,0.0004,0.0,0.0004,2025-05-05 02:00:00,BTC-7MAY25-84000-P
1.2,1746414000000,ok,0.0003,0.0003,0.0004,0.00038,0.0004,2025-05-05 03:00:00,BTC-7MAY25-84000-P
9.0,1746417600000,ok,0.0003,0.0003,0.0003,0.0027,0.0003,2025-05-05 04:00:00,BTC-7MAY25-84000-P
