volume,ticks,status,open,low,high,cost,close,timestamp,instrument
2.1,1745596800000,ok,0.0075,0.0075,0.008,0.01675,0.008,2025-04-25 16:00:00,BTC-9MAY25-104000-C
0.0,1745600400000,ok,0.008,0.008,0.008,0.0,0.008,2025-04-25 17:00:00,BTC-9MAY25-104000-C
0.0,1745604000000,ok,0.008,0.008,0.008,0.0,0.008,2025-04-25 18:00:00,BTC-9MAY25-104000-C
0.0,1745607600000,ok,0.008,0.008,0.008,0.0,0.008,2025-04-25 19:00:00,BTC-9MAY25-104000-C
0.0,1745611200000,ok,0.008,0.008,0.008,0.0,0.008,2025-04-25 20:00:00,BTC-9MAY25-104000-C
0.1,1745614800000,ok,0.0065,0.0065,0.0065,0.00065,0.0065,2025-04-25 21:00:00,BTC-9MAY25-104000-C
0.0,1745618400000,ok,0.0065,0.0065,0.0065,0.0,0.0065,2025-04-25 22:00:00,BTC-9MAY25-104000-C
0.0,1745622000000,ok,0.0065,0.0065,0.0065,0.0,0.0065,2025-04-25 23:00:00,BTC-9MAY25-104000-C
0.0,1745625600000,ok,0.0065,0.0065,0.0065,0.0,0.0065,2025-04-26 00:00:00,BTC-9MAY25-104000-C
0.0,1745629200000,ok,0.0065,0.0065,0.0065,0.0,0.0065,2025-04-26 01:00:00,BTC-9MAY25-104000-C
0.0,1745632800000,ok,0.0065,0.0065,0.0065,0.0,0.0065,2025-04-26 02:00:00,BTC-9MAY25-104000-C
0.1,1745636400000,ok,0.007,0.007,0.007,0.0007,0.007,2025-04-26 03:00:00,BTC-9MAY25-104000-C
0.0,1745640000000,ok,0.007,0.007,0.007,0.0,0.007,2025-04-26 04:00:00,BTC-9MAY25-104000-C
0.0,1745643600000,ok,0.007,0.007,0.007,0.0,0.007,2025-04-26 05:00:00,BTC-9MAY25-104000-C
0.0,1745647200000,ok,0.007,0.007,0.007,0.0,0.007,2025-04-26 06:00:00,BTC-9MAY25-104000-C
0.0,1745650800000,ok,0.007,0.007,0.007,0.0,0.007,2025-04-26 07:00:00,BTC-9MAY25-104000-C
0.0,1745654400000,ok,0.007,0.007,0.007,0.0,0.007,2025-04-26 08:00:00,BTC-9MAY25-104000-C
0.1,1745658000000,ok,0.006,0.006,0.006,0.0006,0.006,2025-04-26 09:00:00,BTC-9MAY25-104000-C
0.0,1745661600000,ok,0.006,0.006,0.006,0.0,0.006,2025-04-26 10:00:00,BTC-9MAY25-104000-C
0.0,1745665200000,ok,0.006,0.006,0.006,0.0,0.006,2025-04-26 11:00:00,BTC-9MAY25-104000-C
0.0,1745668800000,ok,0.006,0.006,0.006,0.0,0.006,2025-04-26 12:00:00,BTC-9MAY25-104000-C
0.0,1745672400000,ok,0.006,0.006,0.006,0.0,0.006,2025-04-26 13:00:00,BTC-9MAY25-104000-C
0.1,1745676000000,ok,0.0065,0.0065,0.0065,0.00065,0.0065,2025-04-26 14:00:00,BTC-9MAY25-104000-C
0.0,1745679600000,ok,0.0065,0.0065,0.0065,0.0,0.0065,2025-04-26 15:00:00,BTC-9MAY25-104000-C
0.0,1745683200000,ok,0.0065,0.0065,0.0065,0.0,0.0065,2025-04-26 16:00:00,BTC-9MAY25-104000-C
